"ARTNR";"ARTIKEL1";"ARTIKEL2";"EK";"VK";"VKI";"ME";"EINGABE";"MWST";"ARTGRU";"SKOSTEN";"SPEICHER";"STUECK";"PREIS1";"FK5";"VKI1";"LANGTEXT";"FIBUKTO";"FELD1";"FELD2";"FELD3";"LIEFERANT";"ARTIKELART";"ZULIEFERER";"MATCHCODE";"TRAFFIC";"ONLINEART";"ANZAHLPOP";"ANZAHLEMAIL";"ANZAHLFTP";"ANZAHLSUBDOMAINS";"MYSQLDATABASE";"WILDCARDSUB";"FTPJA";"PHPJA";"CGIJA";"SSIJA";"STATIJA";"PWVERZJA";"FEHLERSEITENJA";"WEBFTPJA";"WEBMAILJA";"PHPUPLOAD";"WAP";"SHELLZUGRIFF";"DIRECTLIST";"AUTORESPONDER";"BESTAND";"FREIDOMS";"PROVFAEHIG";"PROVISION"
"0034";"Serverhousing inkl. 3 GB Datenvolumen";"";;75;89,25;"";"09.06.2004 13:18:40";19;"320";"";"";0;;;;"";"";"J";"J";"";"monatlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-6;;"";
"0009";".ch Registrierung / Abonnement";"";22,48;22,5;26,775;"";"09.06.2004 13:12:54";19;"300";"";"";0;22,5;;26,1;"";"";"G";"N";"";"jährlich";"";"SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-20;;"";
"0010";".ch Nameservice + Abwicklung";"";0;8;9,52;"";"09.06.2004 13:12:59";19;"300";"";"";0;8;;9,28;"";"";"G";"N";"";"jährlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-11;;"";
"0011";".ch Einrichtungsgebühr SWITCH";"";25,7;25,7;30,583;"";"09.06.2004 13:13:05";19;"300";"";"";0;25,6983;;29,81;"";"";"E";"N";"";"einmalig";"";"SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-9;;"";
"0012";".at Nameservice + Abwicklung";"";;8;9,52;"";"09.06.2004 13:13:10";19;"300";"";"";0;8;;9,28;"";"";"G";"N";"";"jährlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-1;;"";
"0013";".be Registrierung";"";10,2;19,9;23,681;"";"09.06.2004 13:13:15";19;"300";"";"";0;12;;13,92;"";"";"G";"N";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-2;;"";
"0035";"Anti-Virus for sendmail Postfach";"";;1,44;1,7136;"";"09.06.2004 13:19:09";19;"320";"";"";0;;;;"";"";"J";"N";"";"monatlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-2208;;"";
"9022";"Domainregistrierung 1&1";"";;;0;"";"09.06.2004 13:19:58";19;"300";"";"";0;;;;"";"";"J";"N";"";"monatlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;"";
"1000";"Arbeitsstunde Design/Gestaltung";"";;30;35,7;"";"09.06.2004 13:19:18";19;"330";"";"";0;30;0;34,8;"";"";"E";"N";"";"einmalig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;"";
"1001";"Arbeitsstunde Programmierung / Entwicklung";"";;30;35,7;"";"02.07.2004 10:26:49";19;"330";"";"";0;30;;34,8;"";"";"E";"N";"";"einmalig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;"";
